externalId,startDate,participantAName,participantBName,diff_avg_pts_for,diff_win_rate,diff_form5,diff_form3,diff_form2,diff_net_rating,diff_fatigue,diff_elo,elo_expected_prob_a,h2h_shrunk_full,h2h_shrunk_last5,h2h_n_meetings,avg_pts_for_prev_a,avg_pts_for_prev_b,volatility_prev_a,volatility_prev_b,hours_since_last_a,hours_since_last_b,matches_last_3h_a,matches_last_3h_b,market_prob_a,odds_a,odds_b,target_win_a,target_total
NB052120626,2026-06-12 04:39:00+00:00,MYTH,HORROR,-10.266666666666666,-0.2666666666666666,-0.4,-0.6666666666666666,-1.0,-12.866666666666667,-1,-46.09701555813376,0.4340476044418299,0.39088434539533135,0.39088434539533135,3,50.4,60.666666666666664,5.594640292279745,10.073066398404542,1.0666666666666667,0.5333333333333333,3,4,,,,0,97.0
NB073120626,2026-06-12 04:43:00+00:00,SILVER,DAGGER,3.200000000000003,0.0,0.0,0.0,0.0,8.200000000000003,0,19.423417026500147,0.5279234596584106,0.3519489731056071,0.3519489731056071,2,51.0,47.8,5.916079783099616,2.86356421265527,1.0666666666666667,0.5333333333333333,3,3,,,,0,107.0
NB074120626,2026-06-12 05:11:00+00:00,MALICE,MYTH,6.133333333333333,0.06666666666666671,0.2,0.6666666666666666,0.5,7.233333333333334,0,26.13342125569216,0.5375382490304663,0.5250254993536442,0.5250254993536442,2,55.8,49.666666666666664,5.403702434442518,5.316640543300503,1.0666666666666667,0.5333333333333333,3,3,,,,0,95.0
NB075120626,2026-06-12 05:15:00+00:00,DAGGER,FRENZY,-2.0,-0.16666666666666663,-0.4,0.0,0.0,-4.333333333333336,1,-24.54971050017116,0.4647288077411086,0.2655593187092049,0.2655593187092049,3,49.166666666666664,51.166666666666664,4.2150523919242895,7.305249254246337,0.5333333333333333,1.0666666666666667,4,3,,,,1,107.0
NB060120626,2026-06-12 05:19:00+00:00,THOR,LEGACY,7.599999999999994,0.8,0.8,0.6666666666666667,0.5,15.199999999999996,1,72.54333491192233,0.602907133618141,0.7352714224120941,0.7352714224120941,2,62.8,55.2,8.92748564826626,9.67987603226405,1.0666666666666667,1.6,3,2,,,,1,102.0
NB061120626,2026-06-12 05:23:00+00:00,RADIANT,SUPERIOR,-12.800000000000004,-0.8,-0.8,-0.6666666666666667,-1.0,-17.800000000000004,0,-79.99174462249857,0.3868744520748463,0.25791630138323085,0.25791630138323085,2,50.4,63.2,6.58027355054484,6.833739825307955,1.0666666666666667,0.5333333333333333,2,2,,,,1,121.0
NB062120626,2026-06-12 05:27:00+00:00,ZION,AZURE,-3.3999999999999986,-0.6000000000000001,-0.6000000000000001,-0.3333333333333333,-1.0,-2.0,0,-33.49790721052045,0.4519414583692653,0.3012943055795102,0.3012943055795102,2,44.4,47.8,3.361547262794322,4.324349662087932,1.0666666666666667,0.5333333333333333,2,2,,,,1,106.0
NB120120626,2026-06-12 11:47:00+00:00,VISIONARY,JD,3.1999999999999957,-0.2,-0.2,-0.3333333333333333,0.0,-0.20000000000000284,0,-12.194880365480458,0.4824573599282122,0.5859658879425698,0.5859658879425698,1,49.8,46.6,3.2710854467592245,6.107372593840988,0.5333333333333333,1.0666666666666667,2,2,,,,1,113.0
NB121120626,2026-06-12 11:51:00+00:00,COMBO,SCORCH,-5.199999999999996,-0.6000000000000001,-0.6000000000000001,-1.0,-1.0,-0.6000000000000014,0,-35.60051647468413,0.4489452945298374,0.3591562356238699,0.3591562356238699,1,52.2,57.4,11.211601134539169,5.504543577809155,0.5333333333333333,1.0666666666666667,2,2,,,,0,105.0
NB122120626,2026-06-12 11:55:00+00:00,PROWLER,SPECTER,-5.200000000000003,0.39999999999999997,0.39999999999999997,0.3333333333333333,0.5,5.599999999999994,0,33.33633658614008,0.5478281606539291,0.6382625285231434,0.6382625285231434,1,52.0,57.2,6.557438524302,5.06951674225463,0.5333333333333333,1.0666666666666667,2,2,,,,1,93.0
