externalId,startDate,isCancelled,teamAName,teamBName,participantAName,participantBName,streamName,tournamentName,matchStatus,teamAScore,teamBScore
NB001120626,2026-06-12 00:03:00+00:00,False,Boston Celtics,New York Knicks,RADIANT,SUPERIOR,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,52.0,64.0
NB002120626,2026-06-12 00:07:00+00:00,False,Oklahoma City Thunder,Boston Celtics,ZION,AZURE,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,43.0,45.0
NB003120626,2026-06-12 00:19:00+00:00,False,Charlotte Hornets,Orlando Magic,ENCORE,OCEAN,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,51.0,66.0
NB063120626,2026-06-12 00:23:00+00:00,False,Orlando Magic,Denver Nuggets,MYTH,HORROR,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,50.0,49.0
NB005120626,2026-06-12 00:27:00+00:00,False,New York Knicks,Boston Celtics,SILVER,FRENZY,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,60.0,40.0
NB006120626,2026-06-12 00:31:00+00:00,False,Orlando Magic,Denver Nuggets,LEGACY,SIGNAL,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,42.0,52.0
NB007120626,2026-06-12 00:35:00+00:00,False,Orlando Magic,Dallas Mavericks,INVINCIBLE,ULTIMATE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,49.0,48.0
NB008120626,2026-06-12 00:39:00+00:00,False,Memphis Grizzlies,Milwaukee Bucks,KOBOLD,CROCODILE,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,48.0,40.0
NB009120626,2026-06-12 00:51:00+00:00,False,Denver Nuggets,Dallas Mavericks,FIVESTAR,OREZ,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,72.0,53.0
NB010120626,2026-06-12 00:55:00+00:00,False,Denver Nuggets,Dallas Mavericks,HORROR,MALICE,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,64.0,62.0
NB064120626,2026-06-12 00:59:00+00:00,False,Brooklyn Nets,Toronto Raptors,SILVER,DAGGER,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,46.0,48.0
NB012120626,2026-06-12 01:03:00+00:00,False,Phoenix Suns,Memphis Grizzlies,SIGNAL,THOR,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,50.0,55.0
NB013120626,2026-06-12 01:07:00+00:00,False,New York Knicks,Boston Celtics,SUPERIOR,RADIANT,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,72.0,56.0
NB014120626,2026-06-12 01:11:00+00:00,False,Boston Celtics,Oklahoma City Thunder,AZURE,ZION,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,42.0,40.0
NB015120626,2026-06-12 01:23:00+00:00,False,Dallas Mavericks,Orlando Magic,OREZ,OCEAN,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,45.0,60.0
NB065120626,2026-06-12 01:27:00+00:00,False,Dallas Mavericks,Orlando Magic,MALICE,MYTH,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,50.0,55.0
NB066120626,2026-06-12 01:31:00+00:00,False,Los Angeles Lakers,Boston Celtics,DAGGER,FRENZY,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,44.0,55.0
NB018120626,2026-06-12 01:35:00+00:00,False,Dallas Mavericks,Orlando Magic,THOR,LEGACY,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,58.0,50.0
NB019120626,2026-06-12 01:39:00+00:00,False,Charlotte Hornets,Dallas Mavericks,RADIANT,ULTIMATE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,53.0,52.0
NB020120626,2026-06-12 01:43:00+00:00,False,Phoenix Suns,Milwaukee Bucks,ZION,CROCODILE,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,44.0,36.0
NB021120626,2026-06-12 01:55:00+00:00,False,Denver Nuggets,Charlotte Hornets,FIVESTAR,ENCORE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,58.0,67.0
NB022120626,2026-06-12 01:59:00+00:00,False,Denver Nuggets,Orlando Magic,HORROR,MYTH,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,76.0,57.0
