externalId,startDate,isCancelled,teamAName,teamBName,participantAName,participantBName,streamName,tournamentName,matchStatus,teamAScore,teamBScore,elo_a_before,elo_b_before,diff_elo,elo_expected_prob_a
NB001120626,2026-06-12 00:03:00+00:00,False,Boston Celtics,New York Knicks,RADIANT,SUPERIOR,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,52.0,64.0,1500.0,1500.0,0.0,0.5
NB002120626,2026-06-12 00:07:00+00:00,False,Oklahoma City Thunder,Boston Celtics,ZION,AZURE,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,43.0,45.0,1500.0,1500.0,0.0,0.5
NB003120626,2026-06-12 00:19:00+00:00,False,Charlotte Hornets,Orlando Magic,ENCORE,OCEAN,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,51.0,66.0,1500.0,1500.0,0.0,0.5
NB063120626,2026-06-12 00:23:00+00:00,False,Orlando Magic,Denver Nuggets,MYTH,HORROR,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,50.0,49.0,1500.0,1500.0,0.0,0.5
NB005120626,2026-06-12 00:27:00+00:00,False,New York Knicks,Boston Celtics,SILVER,FRENZY,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,60.0,40.0,1500.0,1500.0,0.0,0.5
NB006120626,2026-06-12 00:31:00+00:00,False,Orlando Magic,Denver Nuggets,LEGACY,SIGNAL,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,42.0,52.0,1500.0,1500.0,0.0,0.5
NB007120626,2026-06-12 00:35:00+00:00,False,Orlando Magic,Dallas Mavericks,INVINCIBLE,ULTIMATE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,49.0,48.0,1500.0,1500.0,0.0,0.5
NB008120626,2026-06-12 00:39:00+00:00,False,Memphis Grizzlies,Milwaukee Bucks,KOBOLD,CROCODILE,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,48.0,40.0,1500.0,1500.0,0.0,0.5
NB009120626,2026-06-12 00:51:00+00:00,False,Denver Nuggets,Dallas Mavericks,FIVESTAR,OREZ,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,72.0,53.0,1500.0,1500.0,0.0,0.5
NB010120626,2026-06-12 00:55:00+00:00,False,Denver Nuggets,Dallas Mavericks,HORROR,MALICE,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,64.0,62.0,1494.0,1500.0,-6.0,0.4913661641789174
NB064120626,2026-06-12 00:59:00+00:00,False,Brooklyn Nets,Toronto Raptors,SILVER,DAGGER,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,46.0,48.0,1513.4909867024662,1500.0,13.490986702466216,0.5194053385115853
NB012120626,2026-06-12 01:03:00+00:00,False,Phoenix Suns,Memphis Grizzlies,SIGNAL,THOR,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,50.0,55.0,1510.6256314088523,1500.0,10.625631408852314,0.5152867470931897
NB013120626,2026-06-12 01:07:00+00:00,False,New York Knicks,Boston Celtics,SUPERIOR,RADIANT,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,72.0,56.0,1511.3658868941982,1488.6341131058018,22.731773788396367,0.5326670524938307
NB014120626,2026-06-12 01:11:00+00:00,False,Boston Celtics,Oklahoma City Thunder,AZURE,ZION,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,42.0,40.0,1506.0,1494.0,12.0,0.5172625244323762
NB015120626,2026-06-12 01:23:00+00:00,False,Dallas Mavericks,Orlando Magic,OREZ,OCEAN,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,45.0,60.0,1486.725213857551,1512.285985190871,-25.56077133332019,0.46328131604955763
